gene,log2FC,mean_tumor,mean_normal,t_statistic,p_value,n_tumor,n_normal,fdr,abs_log2FC,regulation
NGFR,-0.22437166739365955,1.4538022268210768,1.6781738942147364,-1.6784334493770807,0.09562218342935902,98,50,0.12485940960034768,0.22437166739365955,NS
MAPKAPK5,0.22427944770992259,3.2581041591919107,3.033824711481988,3.9645204513943675,0.00011489888898844613,98,50,0.00023375490613962075,0.22427944770992259,NS
CAST,-0.22426948587133033,5.713900467903349,5.938169953774679,-2.838004302521086,0.005186479527057119,98,50,0.00839727893228598,0.22426948587133033,NS
ACVR2A,-0.22425089374188767,2.746239695455245,2.9704905891971327,-2.870459619925053,0.004708447848645134,98,50,0.007671154091970975,0.22425089374188767,NS
SMAD2,-0.22424816885466203,3.1693297588404215,3.3935779276950835,-3.0588631859057216,0.0027104151901359303,98,50,0.004582390034394337,0.22424816885466203,NS
ZNF565,0.22421656340682206,1.9105866892877357,1.6863701258809136,3.875730824444943,0.00016065482496203438,98,50,0.0003220278062075524,0.22421656340682206,NS
ERCC6,0.22420915233448957,2.3167977359549368,2.092588583620447,3.033320653596307,0.002877738165321512,98,50,0.004846587622859021,0.22420915233448957,NS
RNF216,0.22410941430647213,4.755454024096565,4.531344609790093,2.943447388214085,0.003809771720405561,98,50,0.006296958703493485,0.22410941430647213,NS
C12orf65,0.22409888414583623,3.5274385567487387,3.3033396726029025,3.960300046423587,0.00011676074726137442,98,50,0.0002373225037052557,0.22409888414583623,NS
C19orf53,0.22407655098635626,7.400742186291373,7.176665635305016,2.762261525234255,0.006492291077949368,98,50,0.010360150676798853,0.22407655098635626,NS
SUMO2P19,0.22401501957026038,0.9342002783785637,0.7101852588083033,1.9913420520625538,0.048748381463293584,98,50,0.0673297561267611,0.22401501957026038,NS
TENT4A,0.22398147322456374,4.262205998862496,4.038224525637932,2.0870726137270834,0.03890600550215967,98,50,0.05466568071197908,0.22398147322456374,NS
BRF2,0.2239724961692735,3.0852237736493424,2.861251277480069,2.4284966732711677,0.01644024060932815,98,50,0.02460486590472915,0.2239724961692735,NS
RELL2,0.2239658069967594,1.386584489477924,1.1626186824811646,2.847375120511756,0.005044492156105167,98,50,0.008182835668828,0.2239658069967594,NS
AC060766.1,-0.22395821997837073,2.6030300204639496,2.8269882404423203,-2.0528257440400384,0.042063440784371006,98,50,0.05872570667107557,0.22395821997837073,NS
ZNF35,-0.22393098713390902,3.0835536458588573,3.3074846329927663,-3.177755008233754,0.001812411662784719,98,50,0.0031461272309293072,0.22393098713390902,NS
VPS16,0.22391072397369527,4.715391176680271,4.4914804527065755,3.6166086412438276,0.00041835892162145235,98,50,0.0007938278056925615,0.22391072397369527,NS
SLC26A4,0.22388395341794132,1.235640674715373,1.0117567212974317,1.5218246318726747,0.1302764191018484,98,50,0.16568914255400918,0.22388395341794132,NS
LZTS2,0.22387546394988966,5.006810741876758,4.782935277926868,2.461549695123471,0.015049795745784598,98,50,0.022651038985760177,0.22387546394988966,NS
