gene,log2FC,mean_tumor,mean_normal,t_statistic,p_value,n_tumor,n_normal,fdr,abs_log2FC,regulation
SLC44A5,-0.13803346094423308,1.832788571502261,1.970822032446494,-0.6937160219541553,0.4891445673119361,100,50,0.5524626043091084,0.13803346094423308,NS
SLC1A5,0.13801096664435164,7.03008206645551,6.892071099811158,0.9259791881804439,0.35659663438154,100,50,0.4193725897114148,0.13801096664435164,NS
TRBV3-1,0.1379453990073758,1.360036149495849,1.2220907504884733,0.8845470314416787,0.37809922467970447,100,50,0.44176051937537186,0.1379453990073758,NS
RNF24,0.13788205199643677,4.496602357361005,4.358720305364568,1.1137719903720769,0.26776973541634475,100,50,0.3268575122507323,0.13788205199643677,NS
NMNAT3,-0.13787671442676275,1.7689747233296416,1.9068514377564043,-1.4005319194703558,0.1638982150384453,100,50,0.2126255942768882,0.13787671442676275,NS
SCARB2,-0.13775554856615102,5.890753940917541,6.028509489483692,-1.5145158938730339,0.13205490123979727,100,50,0.17540548646415355,0.13775554856615102,NS
MRPL54,0.13762326224926813,6.3295441605431435,6.191920898293875,1.3304462080601034,0.18566675995900894,100,50,0.2373185063637866,0.13762326224926813,NS
AC109460.2,0.13762149350444597,1.6272647175091584,1.4896432240047124,1.248540121167931,0.21446497967512054,100,50,0.2690733524875404,0.13762149350444597,NS
PIGP,-0.13760826890318123,3.958276448676038,4.095884717579219,-2.1143190377143033,0.03619732642489731,100,50,0.05474172809006891,0.13760826890318123,NS
PCGF6,-0.13760696112990045,3.383402275664853,3.5210092367947534,-1.9831075785201961,0.04922672908530688,100,50,0.07223644238737412,0.13760696112990045,NS
MTCH1,0.1375734177741208,7.681760563280468,7.544187145506347,1.797120274486902,0.07470242628531296,100,50,0.10516287780789461,0.1375734177741208,NS
YBX1P2,-0.13754850224916892,1.1385207347137558,1.2760692369629247,-1.7184863516119464,0.0878685261811009,100,50,0.12158508437771806,0.13754850224916892,NS
CD151,-0.1375236800970363,7.65826007914365,7.7957837592406865,-1.1189009423093148,0.26550245094189256,100,50,0.32447530101028516,0.1375236800970363,NS
DCAKD,-0.13750131866149484,5.793425285059473,5.930926603720968,-1.2601956135225634,0.21021191926560018,100,50,0.2643658238873816,0.13750131866149484,NS
RPL14,-0.13749953644884272,7.708368887695219,7.8458684241440615,-1.3553870006945477,0.17841258290716075,100,50,0.22906584959090853,0.13749953644884272,NS
IL1R2,-0.13747259045502347,0.9488783209019566,1.08635091135698,-1.4619866097625076,0.14591771041668522,100,50,0.19173239561985145,0.13747259045502347,NS
LONRF2,0.13745163899577362,2.781951221190173,2.6444995821943995,0.7426005185903464,0.4589103340936247,100,50,0.5230035072864603,0.13745163899577362,NS
FAM126B,-0.13736965438984505,2.9379563279263277,3.0753259823161727,-1.4892402132860432,0.13926403683031277,100,50,0.18395514084999778,0.13736965438984505,NS
IQCB1,0.1373646686967449,4.893850920052262,4.7564862513555175,1.1739669170227627,0.24372276816163932,100,50,0.3013280039187243,0.1373646686967449,NS
NFYC,0.13735845629025523,4.965983321403084,4.828624865112829,1.9452866487552474,0.05434086474767519,100,50,0.07895781426652679,0.13735845629025523,NS
COG5,0.13727937647947464,4.3925829392335345,4.25530356275406,1.5208480912216853,0.13056651732932836,100,50,0.17371209265447946,0.13727937647947464,NS
PEX5,-0.1372760579717287,5.103112617208529,5.240388675180258,-1.7251857892977727,0.08658158559447725,100,50,0.11996584275195893,0.1372760579717287,NS
SNORD19C,-0.13725741471455866,2.854641349966144,2.9918987646807027,-0.6934960736628529,0.48935935742167935,100,50,0.5526412684271085,0.13725741471455866,NS
PLEKHA7,-0.13721815442428165,3.4518109069426153,3.589029061366897,-1.097843221403201,0.27506314205007387,100,50,0.3346307379485261,0.13721815442428165,NS
ZNF460-AS1,-0.13721011628994795,1.4125594649304813,1.5497695812204293,-1.558968651765413,0.1213020350148724,100,50,0.16287319244553483,0.13721011628994795,NS
AC010536.2,-0.13714741335482872,0.7261048741696194,0.8632522875244482,-0.9953405290375947,0.3217773708937835,100,50,0.38350504891619325,0.13714741335482872,NS
