gene,log2FC_good_vs_bad,mean_good,mean_bad,t_statistic,p_value,fdr,abs_log2FC,direction
HTR7P1,-0.12389715256342537,2.0449123351392955,2.168809487702721,-0.29027563156560476,0.7775730166173783,0.9999124392578936,0.12389715256342537,NS
NIBAN1,0.12389209155257142,3.8001764144165935,3.676284322864022,0.19153217844312037,0.851956473184051,0.9999124392578936,0.12389209155257142,NS
FNDC3B,0.12388225251694518,4.955043906637015,4.83116165412007,0.3111744842941347,0.7621334487563977,0.9999124392578936,0.12388225251694518,NS
ZNF337,-0.12386010522788093,0.8053092861706261,0.9291693913985071,-0.6089732571314073,0.5622550241517458,0.9999124392578936,0.12386010522788093,NS
CLCNKA,0.12385980457714396,4.827040393192055,4.703180588614911,0.05616515852998864,0.9567300273131816,0.9999124392578936,0.12385980457714396,NS
B3GALNT2,-0.12380679838421793,2.0344323138797895,2.1582391122640074,-0.8926338527353547,0.39828152377248005,0.9999124392578936,0.12380679838421793,NS
AAGAB,-0.12378925508455829,5.124425420448497,5.248214675533055,-0.47891345474345437,0.6521359028102833,0.9999124392578936,0.12378925508455829,NS
KANK1,0.1237686096596633,4.626985272582681,4.503216662923018,0.5053865093580258,0.6245592927268708,0.9999124392578936,0.1237686096596633,NS
NUDCD3,-0.12375674088297917,4.939982611691986,5.063739352574965,-0.47841077685780026,0.6459028460102153,0.9999124392578936,0.12375674088297917,NS
AC138393.1,-0.12370976748365736,1.0642538707652136,1.187963638248871,-0.8083518062437538,0.4490667000102534,0.9999124392578936,0.12370976748365736,NS
USP22,-0.12368745483528976,6.277020249662714,6.400707704498004,-0.43323647586802344,0.6745124498431134,0.9999124392578936,0.12368745483528976,NS
PDZD11,-0.12365838026017872,6.020296720424106,6.143955100684285,-0.5385079955437655,0.6030983852309877,0.9999124392578936,0.12365838026017872,NS
PARP2,0.12364180943225511,3.575362497759117,3.451720688326862,0.6848696532318757,0.5105018791923835,0.9999124392578936,0.12364180943225511,NS
BTRC,-0.12360965964700688,3.845703417890166,3.9693130775371728,-0.49077029921006526,0.6345300161686473,0.9999124392578936,0.12360965964700688,NS
AC009951.6,0.12358892984530012,1.3213162952017992,1.197727365356499,0.320428478607724,0.7553138528215468,0.9999124392578936,0.12358892984530012,NS
CCDC30,-0.12358072719336954,1.0606881146112435,1.184268841804613,-0.6263443951640193,0.5451242136424181,0.9999124392578936,0.12358072719336954,NS
ZNF141,0.12357291307272478,2.3684595058227726,2.244886592750048,0.8073452390773075,0.4392545897422274,0.9999124392578936,0.12357291307272478,NS
ANKRD17,0.12356652429709492,5.067920751079223,4.944354226782128,0.5553953482599705,0.5936920186208251,0.9999124392578936,0.12356652429709492,NS
CD59,-0.12356099633177564,7.340307953405935,7.46386894973771,-0.3548100845060644,0.730587566453281,0.9999124392578936,0.12356099633177564,NS
SNRPB2,-0.12354966903277553,5.789554591919827,5.913104260952602,-0.527623968738441,0.6132731063300929,0.9999124392578936,0.12354966903277553,NS
NSMCE4A,-0.1235317815647119,3.531257336396423,3.6547891179611347,-0.5771950469112183,0.5788383136895732,0.9999124392578936,0.1235317815647119,NS
RN7SL381P,-0.12352557056416258,0.9353272606682478,1.0588528312324104,-0.2484473476142463,0.8090906841404393,0.9999124392578936,0.12352557056416258,NS
SETP14,-0.12351720167457048,1.021223456255085,1.1447406579296555,-0.4073483208031526,0.6982468864255604,0.9999124392578936,0.12351720167457048,NS
NARS2,0.12347802338674452,4.202433479795276,4.078955456408531,0.3736363076514885,0.7233816010098422,0.9999124392578936,0.12347802338674452,NS
PHF2,0.12346941362585717,4.89637059533412,4.772901181708263,0.43183317913451913,0.675030185350384,0.9999124392578936,0.12346941362585717,NS
XPO6,-0.12345856973760672,4.803437141169405,4.9268957109070115,-0.5058552965767814,0.6259691882266647,0.9999124392578936,0.12345856973760672,NS
AL445205.1,-0.12345479623359235,1.5285970568176086,1.652051853051201,-0.19581243627453482,0.8489060681306502,0.9999124392578936,0.12345479623359235,NS
AC083843.3,-0.12343611998847681,1.0837527643319682,1.207188884320445,-0.38280117394070035,0.7148433299051968,0.9999124392578936,0.12343611998847681,NS
GLRX2,-0.12338877074064714,2.9542815654962298,3.077670336236877,-0.8564879105660338,0.41241604182736635,0.9999124392578936,0.12338877074064714,NS
MAP3K13,0.12336734210953004,3.677441431476168,3.554074089366638,0.6899017516007169,0.5144714069300225,0.9999124392578936,0.12336734210953004,NS
RALBP1,-0.12335903510080559,5.397409058009529,5.520768093110335,-0.3036874392837495,0.7680580350653088,0.9999124392578936,0.12335903510080559,NS
PBXIP1,0.12333639165208599,7.398898172221277,7.275561780569191,0.5172945185010288,0.6255306384684203,0.9999124392578936,0.12333639165208599,NS
PIK3R4,0.12333516456870441,4.748317381480291,4.624982216911587,0.512648561588594,0.6200819872302166,0.9999124392578936,0.12333516456870441,NS
LAMTOR5,0.1233229328826102,6.522873665532275,6.399550732649665,0.46471218274561565,0.6534162196668138,0.9999124392578936,0.1233229328826102,NS
MROH1,0.1232649987705412,3.257708366521382,3.134443367750841,0.4453348467693554,0.6742012553327055,0.9999124392578936,0.1232649987705412,NS
SSH2,-0.1232448521640146,3.227699801081176,3.3509446532451905,-0.2624669828484826,0.7984653411636169,0.9999124392578936,0.1232448521640146,NS
PPIC,-0.12324106400575996,5.168935152278206,5.292176216283966,-0.38940397584794906,0.7051771879410005,0.9999124392578936,0.12324106400575996,NS
ZC3H4,0.12318673954076864,4.336795628385404,4.213608888844635,0.3664997503395192,0.7220946791782807,0.9999124392578936,0.12318673954076864,NS
AHCY,0.12317752892873113,6.955931632917777,6.832754103989046,0.2799525020238354,0.785453172721159,0.9999124392578936,0.12317752892873113,NS
MOAP1,-0.12317620513452265,6.215618766506599,6.338794971641121,-0.528172258068544,0.6125036642880408,0.9999124392578936,0.12317620513452265,NS
SLC16A1,-0.1231738301159293,4.1755980478199985,4.298771877935928,-0.13863873195819798,0.8937026314457825,0.9999124392578936,0.1231738301159293,NS
PPP4R2,0.12315720234010819,4.949663256833674,4.826506054493565,0.5175559028118559,0.619043726427762,0.9999124392578936,0.12315720234010819,NS
SUCLG2,0.12314710833855003,6.952322227899616,6.829175119561066,0.32467387847929924,0.7536990794575186,0.9999124392578936,0.12314710833855003,NS
